,match_api_id,season,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,winner_id_label
2891,2030353,2015/2016,2016-01-17 00:00:00,8305,8558,3,1,77.0,76.0,73.0,73.0,72.0,74.0,76.0,77.0,76.0,78.0,75.0,70.0,66.0,75.0,76.0,73.0,73.0,77.0,74.0,75.0,75.0,78.0,2.2,3.2,3.5,2.15,3.2,3.4,2.1,3.3,3.3,2.15,3.1,3.6,2.18,3.3,3.86,2.2,3.1,3.5,2.2,3.3,3.6,1
2892,2030354,2015/2016,2016-01-16 00:00:00,10205,8603,0,0,78.0,79.0,81.0,80.0,66.0,79.0,79.0,81.0,78.0,79.0,80.0,77.0,73.0,72.0,71.0,76.0,71.0,75.0,74.0,68.0,73.0,79.0,1.45,4.33,8.0,1.48,4.0,6.75,1.4,4.4,7.3,1.48,4.0,7.0,1.52,4.37,7.6,1.4,4.5,8.0,1.5,4.4,7.5,0
2893,2030355,2015/2016,2016-01-17 00:00:00,8633,9869,5,1,81.0,81.0,82.0,84.0,83.0,87.0,87.0,84.0,87.0,86.0,93.0,76.0,76.0,74.0,71.0,73.0,75.0,73.0,76.0,77.0,68.0,72.0,1.05,17.0,26.0,1.06,13.5,29.0,1.07,9.5,22.0,1.07,13.0,34.0,1.09,15.75,24.5,1.08,11.0,23.0,1.06,15.0,41.0,1
2894,2030356,2015/2016,2016-01-16 00:00:00,8560,9783,1,1,79.0,78.0,71.0,80.0,71.0,77.0,76.0,81.0,77.0,76.0,79.0,76.0,74.0,72.0,77.0,75.0,72.0,76.0,74.0,73.0,74.0,78.0,1.95,3.3,4.2,1.95,3.3,3.9,2.0,3.3,3.6,1.91,3.3,4.0,2.01,3.52,4.18,2.0,3.1,4.2,1.95,3.5,4.2,0
2895,2030357,2015/2016,2016-01-17 00:00:00,10267,8370,2,2,78.0,76.0,82.0,80.0,75.0,82.0,75.0,77.0,80.0,79.0,81.0,70.0,56.0,77.0,76.0,75.0,80.0,70.0,76.0,72.0,73.0,73.0,1.62,4.0,5.5,1.62,4.1,5.25,1.6,3.9,5.0,1.6,4.0,5.25,1.62,4.33,5.8,1.61,3.75,5.5,1.6,4.3,5.75,0
2897,2030359,2015/2016,2016-01-25 00:00:00,8581,8306,3,2,73.0,72.0,75.0,75.0,75.0,75.0,72.0,71.0,75.0,77.0,76.0,75.0,74.0,70.0,72.0,69.0,74.0,77.0,69.0,72.0,73.0,71.0,2.38,3.1,3.25,2.35,3.0,3.2,2.4,3.3,2.75,2.3,3.1,3.2,2.38,3.3,3.38,2.3,3.2,3.2,2.38,3.25,3.3,1
2898,2030360,2015/2016,2016-01-24 00:00:00,9906,8302,0,0,81.0,81.0,81.0,85.0,82.0,76.0,80.0,79.0,83.0,79.0,84.0,76.0,80.0,80.0,79.0,81.0,82.0,79.0,81.0,81.0,73.0,80.0,1.67,3.5,6.0,1.67,3.5,6.0,1.6,3.7,5.4,1.62,3.6,6.0,1.65,3.82,6.55,1.67,3.4,6.0,1.65,3.8,6.25,0
2899,2030361,2015/2016,2016-01-23 00:00:00,9864,8634,1,2,79.0,75.0,76.0,78.0,74.0,71.0,76.0,80.0,77.0,75.0,72.0,83.0,79.0,83.0,80.0,79.0,83.0,86.0,88.0,94.0,90.0,73.0,8.5,5.5,1.33,8.0,5.5,1.35,7.6,4.8,1.35,8.5,5.0,1.35,10.09,5.41,1.36,8.5,4.8,1.36,9.0,5.5,1.36,-1
2900,2030362,2015/2016,2016-01-24 00:00:00,8315,8372,5,2,74.0,76.0,80.0,83.0,79.0,80.0,80.0,78.0,80.0,73.0,82.0,71.0,73.0,74.0,72.0,70.0,72.0,74.0,73.0,76.0,72.0,71.0,1.67,3.75,5.5,1.7,3.5,5.0,1.65,3.6,5.1,1.67,3.75,5.25,1.7,3.95,5.55,1.73,3.5,5.0,1.67,3.9,5.75,1
2901,2030363,2015/2016,2016-01-23 00:00:00,7878,8305,3,2,77.0,76.0,74.0,74.0,71.0,76.0,75.0,70.0,73.0,73.0,75.0,77.0,76.0,73.0,73.0,72.0,74.0,76.0,77.0,76.0,78.0,75.0,2.63,3.1,2.88,2.65,3.1,2.85,2.5,3.3,2.65,2.5,3.1,2.9,2.56,3.35,3.02,2.62,3.1,2.8,2.55,3.25,3.0,1
